-8265594.490645819,4989197.691059543,700,818
-8264371.498193257,4989197.691059543,375,438
-8263148.505740693,4989197.691059543,368,430
-8261925.51328813,4989197.691059543,512,598
-8260702.520835567,4989197.691059543,963,1125
-8259479.5283830045,4989197.691059543,249,291
-8258256.535930442,4989197.691059543,576,673
-8265594.490645819,4987974.698610196,989,1155
-8264371.498193257,4987974.698610196,402,470
-8263148.505740693,4987974.698610196,489,571
-8261925.51328813,4987974.698610196,449,524
-8260702.520835567,4987974.698610196,572,668
-8259479.5283830045,4987974.698610196,520,607
-8258256.535930442,4987974.698610196,1372,1602
-8265594.490645819,4986751.706160851,730,852
-8264371.498193257,4986751.706160851,1185,1384
-8263148.505740693,4986751.706160851,631,737
-8261925.51328813,4986751.706160851,404,472
-8260702.520835567,4986751.706160851,621,725
-8259479.5283830045,4986751.706160851,937,1094
-8258256.535930442,4986751.706160851,588,687
-8265594.490645819,4985528.713711506,330,385
-8264371.498193257,4985528.713711506,329,384
-8263148.505740693,4985528.713711506,610,712
-8261925.51328813,4985528.713711506,1324,1546
-8260702.520835567,4985528.713711506,600,700
-8259479.5283830045,4985528.713711506,198,231
-8258256.535930442,4985528.713711506,334,390
-8265594.490645819,4984305.721262166,542,633
-8264371.498193257,4984305.721262166,803,937
-8263148.505740693,4984305.721262166,365,426
-8261925.51328813,4984305.721262166,1270,1482
-8260702.520835567,4984305.721262166,1369,1598
-8259479.5283830045,4984305.721262166,633,739
-8258256.535930442,4984305.721262166,838,978
-8265594.490645819,4983082.728812819,893,1042
-8264371.498193257,4983082.728812819,862,1006
-8263148.505740693,4983082.728812819,367,428
-8261925.51328813,4983082.728812819,342,399
-8260702.520835567,4983082.728812819,669,781
-8259479.5283830045,4983082.728812819,899,1049
-8258256.535930442,4983082.728812819,676,789
-8265594.490645819,4981859.736363483,962,1122
-8264371.498193257,4981859.736363483,380,443
-8263148.505740693,4981859.736363483,381,444
-8261925.51328813,4981859.736363483,445,519
-8260702.520835567,4981859.736363483,243,283
-8259479.5283830045,4981859.736363483,1396,1628
-8258256.535930442,4981859.736363483,396,462
